gene	cluster
AN4433	Cluster_8
AN12263	Cluster_5
AN4432	Cluster_5
AN4431	Cluster_1
AN4430	Cluster_1
AN4429	Cluster_1
AN4428	Cluster_1
AN4427	Cluster_1
AN4426	Cluster_5
AN4425	Cluster_8
AN4424	Cluster_7
AN4423	Cluster_8
AN4422	Cluster_5
AN4421	Cluster_8
AN10552	Cluster_8
AN10554	Cluster_8
AN12230	Cluster_5
AN4419	Cluster_8
AN11437	Cluster_7
AN4418	Cluster_2
AN4417	Cluster_8
AN4416	Cluster_1
AN4415	Cluster_1
AN4414	Cluster_1
AN10551	Cluster_1
AN10553	Cluster_1
AN4412	Cluster_1
AN4411	Cluster_5
AN4410	Cluster_5
AN4409	Cluster_5
AN4408	Cluster_5
AN4407	Cluster_1
AN12229	Cluster_1
AN4406	Cluster_1
AN4405	Cluster_5
AN4404	Cluster_1
AN4403	Cluster_1
AN4402	Cluster_5
AN4401	Cluster_1
AN4399	Cluster_1
AN4398	Cluster_1
AN4397	Cluster_8
AN4396	Cluster_8
AN4395	Cluster_1
AN4394	Cluster_5
AN4393	cluster_T
AN4392	cluster_T
AN4391	cluster_T
AN4390	Cluster_2
AN4389	Cluster_2
AN4388	Cluster_8
AN4387	Cluster_1
AN11436	Cluster_1
AN4386	Cluster_1
AN4385	Cluster_1
AN4384	Cluster_1
AN4383	Cluster_1
AN4382	Cluster_1
AN4381	Cluster_1
AN4380	Cluster_8
AN4379	cluster_T
AN4378	Cluster_5
AN4377	Cluster_8
AN4376	Cluster_5
AN4375	Cluster_7
AN4374	Cluster_5
AN4373	Cluster_7
AN4372	Cluster_2
AN4371	Cluster_5
AN4369	Cluster_5
AN4368	cluster_T
AN12157	Cluster_8
AN12156	Cluster_5
AN4367	Cluster_8
AN4366	Cluster_5
AN4365	Cluster_5
AN4364	Cluster_5
AN4363	Cluster_8
AN4362	Cluster_1
AN4361	Cluster_5
AN4360	Cluster_5
AN4359	Cluster_1
AN4358	Cluster_1
AN4357	Cluster_8
AN12155	Cluster_8
AN4355	Cluster_1
AN4354	Cluster_5
AN4353	Cluster_8
AN4352	Cluster_5
AN4351	Cluster_8
AN10548	Cluster_1
AN10544	Cluster_1
AN11435	Cluster_8
AN4349	Cluster_5
AN4348	Cluster_5
AN4347	Cluster_1
AN4346	Cluster_8
AN4345	Cluster_8
AN12154	cluster_T
AN12153	Cluster_8
AN4343	Cluster_1
AN4342	Cluster_1
AN4341	Cluster_8
AN4340	Cluster_2
AN4339	cluster_T
AN4338	Cluster_5
AN4337	Cluster_5
AN4336	cluster_T
AN4335	Cluster_5
AN10550	Cluster_8
AN10543	Cluster_8
AN4333	Cluster_8
AN4332	Cluster_5
AN4331	Cluster_1
AN4330	Cluster_8
AN4329	Cluster_5
AN4328	Cluster_5
AN10547	Cluster_5
AN10542	Cluster_5
AN10541	Cluster_5
AN10546	Cluster_7
AN4325	cluster_T
AN4324	cluster_T
AN4323	Cluster_7
AN4322	Cluster_1
AN10540	Cluster_1
AN10545	Cluster_1
AN4320	Cluster_1
AN4319	Cluster_1
AN4318	Cluster_1
AN4317	Cluster_1
AN4316	Cluster_1
AN4315	Cluster_2
AN4314	Cluster_2
AN4313	Cluster_5
AN4312	Cluster_8
AN4311	cluster_T
AN4310	Cluster_5
AN4309	Cluster_1
AN4308	Cluster_1
AN4307	Cluster_1
AN4306	Cluster_1
AN12152	Cluster_1
AN4305	Cluster_1
AN4304	Cluster_1
AN4303	Cluster_1
AN4302	Cluster_1
AN4301	Cluster_1
AN4300	Cluster_1
AN4299	Cluster_1
AN10539	Cluster_1
AN4298	Cluster_1
AN4297	Cluster_1
AN4295	Cluster_1
AN4294	Cluster_1
AN4293	Cluster_8
AN4292	Cluster_5
AN4291	Cluster_5
AN4290	Cluster_1
AN8870	Cluster_1
AN11131	Cluster_1
AN8869	Cluster_1
AN11130	Cluster_1
AN8868	Cluster_1
AN8867	Cluster_1
AN8866	Cluster_1
AN8865	Cluster_1
AN11137	Cluster_1
AN8864	Cluster_1
AN8863	Cluster_1
AN8862	Cluster_1
AN8861	Cluster_1
AN8860	Cluster_1
AN11632	Cluster_1
AN8859	Cluster_1
AN12318	Cluster_8
AN8858	Cluster_1
AN8857	Cluster_1
AN11136	Cluster_1
AN8856	Cluster_1
AN8855	Cluster_1
AN8854	Cluster_5
AN8853	Cluster_1
AN11135	Cluster_1
AN11129	Cluster_1
AN11132	Cluster_1
AN8851	Cluster_1
AN8850	Cluster_1
AN8849	Cluster_1
AN8848	Cluster_1
AN8847	Cluster_1
AN8846	Cluster_5
AN8845	Cluster_8
AN8844	Cluster_1
AN11133	Cluster_1
AN8843	Cluster_5
AN11138	Cluster_8
AN8842	Cluster_1
AN8841	Cluster_1
AN8840	Cluster_1
AN8839	Cluster_2
AN12317	Cluster_7
AN11128	Cluster_8
AN11126	Cluster_1
AN8837	Cluster_8
AN8836	Cluster_5
AN11127	Cluster_1
AN11125	Cluster_1
AN8834	Cluster_1
AN8833	Cluster_5
AN8832	Cluster_5
AN12364	Cluster_8
AN8831	Cluster_2
AN8830	Cluster_2
AN8829	cluster_T
AN8828	Cluster_7
AN8827	Cluster_5
AN8826	Cluster_2
AN8825	Cluster_2
AN8824	Cluster_1
AN8823	Cluster_5
AN8822	Cluster_5
